[LOG] System::create                           : Header version = 1.10.11. Current version = 1.10.11.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11011 (100047), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000000025A431B8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] SoundI::release                          : HS_Forest Ambience-001 (000000027CA989D8)
[LOG] SoundI::release                          :     HS_Hamster Connect_Stutter (000000027C871258)
[LOG] SoundI::release                          :  (000000027DF71968)
[LOG] SoundI::release                          :     HS_Hamster Connect_Latch (000000006E646C88)
[LOG] SoundI::release                          :  (000000027DF6DA28)
[LOG] SoundI::release                          :     HS_Hamster Connect_Stutter2 (000000027DF08178)
[LOG] SoundI::release                          :  (000000006E505CE8)
[LOG] SoundI::release                          :     HS_Hamster Connect_Rise (000000006E4CA588)
[LOG] SoundI::release                          :  (000000027DF73798)
[LOG] SoundI::release                          :     HS_Hamster Collected_HiNoise-003 (000000006E64ABE8)
[LOG] SoundI::release                          :  (000000006E504E88)
[LOG] SoundI::release                          :     HS_Hamster Collected_LowNoise-004 (000000006E4D03C8)
[LOG] SoundI::release                          :  (000000004D9BEBB8)
[LOG] SoundI::release                          :     HS_RainbowGlisten(short)-004 (000000027D309458)
[LOG] SoundI::release                          :  (000000006E504308)
[LOG] SoundI::release                          :     HS_RainbowGlisten(short)-001 (000000006E4CF6C8)
[LOG] SoundI::release                          :  (000000027CF5ACE8)
[LOG] SoundI::release                          :     HS_RainbowGlisten(short)-002 (000000006E48F208)
[LOG] SoundI::release                          :  (000000006E501508)
[LOG] SoundI::release                          :     HS_Attack_SynthLow-001 (000000027DF05C18)
[LOG] SoundI::release                          :  (000000004D9BF178)
[LOG] SoundI::release                          :     HS_Attack_SynthLow-002 (000000027D309938)
[LOG] SoundI::release                          :  (000000027DF727C8)
[LOG] SoundI::release                          :     HS_Attack_SynthLow-003 (000000006E64B748)
[LOG] SoundI::release                          :  (000000006E503058)
[LOG] SoundI::release                          :     HS_Attack_SynthLow-004 (000000006E4D08A8)
[LOG] SoundI::release                          :  (000000027CF59028)
[LOG] SoundI::release                          :     HS_Attack_LowNoise-001 (000000004E92B168)
[LOG] SoundI::release                          :  (000000027DF710C8)
[LOG] SoundI::release                          :     HS_Attack_LowNoise-002 (000000006E649868)
[LOG] SoundI::release                          :  (000000006E504D18)
[LOG] SoundI::release                          :     HS_Attack_LowNoise-003 (000000027DF01978)
[LOG] SoundI::release                          :  (000000027CF567E8)
[LOG] SoundI::release                          :     HS_Attack_LowNoise-004 (000000004E928A68)
[LOG] SoundI::release                          :  (000000027DF6E5A8)
[LOG] SoundI::release                          :     HS_Attack_Punch-001 (000000006E647E68)
[LOG] SoundI::release                          :  (0000000025C2F178)
[LOG] SoundI::release                          :     HS_Attack_Punch-002 (000000027C873138)
[LOG] SoundI::release                          :  (000000004D9C0B58)
[LOG] SoundI::release                          :     HS_Attack_Punch-003 (000000027D3085B8)
[LOG] SoundI::release                          :  (000000006E505A08)
[LOG] SoundI::release                          :     HS_Attack_Punch-004 (000000027DF04F18)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
